Fallout Team,"Active since at least 2010, Fallout Team (also publicly referred to as Darkhotel) is a South Korea-nexus cyber espionage group that has targeted governments, diplomatic organizations, think tanks, and commercial entities with interests in Northeast Asia. Tactics employed by the group include spear-phishing e-mails, zero-day exploits, right-to-left-override (RTLO) characters and compromised digital certificates. Fallout Team has also compromised business travelers through malicious spoofed software updates delivered via hotel Wi-Fi networks. Fallout Team is believed to be well-resourced and is considered a threat to governments and businesses operating in Northeast Asia."
APT10,"APT10 is a China-nexus cyber espionage actor that has successfully targeted public and private corporations in Japan, the United States, and Europe since at least 2009. While there is a dearth of information implicating specific actors or units, cohesive targeting and shared resources almost certainly indicate the actors carrying out this campaign are intimately connected and operating under the auspices of a single sponsor. On December 20, 2018, the U.S. Department of Justice unsealed an indictment against APT10 operators that exposed portions of the group's operating parameters and tied them to China's Ministry of State Security. Just prior to the indictment, Mandiant Threat Intelligence observed APT10 continuing to engage in global operations. A post-indictment survey of the group suggests they entered a period of operational dormancy."
APT12,"APT12 is a cyber espionage group with a Chinese nexus. The team has been active since at least 2009 and has focused heavily on Taiwan and the United States. The group carries out political and military intelligence collection, targeting government organizations, think tanks, and the defense industrial base (DIB) in addition to carrying out economic espionage. Private corporations targeted by APT12 often belong to industrial sectors that correspond to the People's Republic of China's stated national priorities. Significantly, private companies have been targeted by the group in the midst of the mergers and acquisitions process to gain strategic intelligence to support negotiations."
APT14,"APT14 is a China-nexus cyber espionage actor that engages in cyber operations where the goal is data theft, with a possible focus on military and maritime equipment, operations, and policies. APT14 has targeted organizations headquartered in multiple countries, including the United States, the Philippines, and Bangladesh. Targeted industries include government, telecommunications, and construction and engineering. Historical APT14 activity against defense industrial base (DIB) companies developing satellite communication and encryption technology is consistent with larger PRC military modernization goals. Specifically, it could support the People's Liberation Army (PLA's) intentions to develop weaponry and improved command and control (C&C) capabilities. "
APT15,"APT15 is a China-nexus cyber espionage that typically employs well-developed spear-phishing e-mails against global targets in the trade, economic and financial, energy, and military sectors. Significantly, APT15 is known to share resources with other China-nexus actors, including malware, and infrastructure, making attribution difficult."
APT16,"APT16 (TEMP.Bottle) engages in cyber operations where the goal is data theft. This group has targeted organizations headquartered in countries including the United States and the United Kingdom. The group has targeted a broad range of industries including non-governmental organizations (NGOs), the defense industrial base (DIB), advanced materials, electronics, energy, food and beverage, media, and mining. We assess that this is a nation-state sponsored group located in China."
APT17,"APT17 (Tailgater) is a a cyber espionage group with a China nexus that has targeted organizations headquartered in countries including the United States, United Kingdom and Japan. We assess that the goal of some of APT17 (Tailgater) operations is to compromise entire supply chains, rather than targeting and stealing data relating to a specific technology. The group uses uses both phishing e-mail messages and strategic web compromises (SWCs) to compromise victim organizations. This group has also been observed leveraging zero-day exploits. Further, operators may also identify vulnerable web servers, either at victim organizations or to be used for strategic web compromises, and upload web shells to those servers in order to gain access. The group's use of zero-day vulnerabilities, novel intrusion methods, and multiple malware families highlights the operation's sophistication and flexibility. "
APT18,"APT18 (Wekby) is a cyber espionage group with a Chinese nexus that has been active since at least 2011 and associated with multiple high-profile intrusions. This group engages in cyber operations where the goal is data theft, including intellectual property theft of data and projects that make a particular organization competitive within its field. This group"
APT19,"APT19 (Codoso) is a Chinese cyber espionage group that Mandiant Threat Intelligence"
APT1,"APT1 refers to a distinct grouping of global cyber espionage activity with a nexus to China. Based on available data, we assess that this is a nation-state-sponsored group located in China. Specifically, we believe that APT1 is the 2nd Bureau of the People's Liberation Army (PLA) General Staff Department's 3rd Department, or Unit 61398. The activity is distinguished by the use of common infrastructure and tools and a clear intent to collect intelligence on a number of issues that may be of interest to the People's Republic of China (PRC)."
APT20,"APT20 (Twivy) is a suspected Chinese cyber espionage group that engages in cyber operations where the goal is data theft. APT20 conducts intellectual property theft but also appears interested in stealing data from or monitoring the activities of individuals with specific political interests. Based on available data, we assess that this is a freelancer group with some nation-state sponsorship located in China. APT20 has used the unique password string th3bug in POISON IVY variants. Targeted organizations span multiple industries, including construction and engineering, healthcare, and non-profit organizations, as well as defense industrial base (DIB) and chemical research and production companies. "
APT21,"APT21 is a China-nexus cyber espionage actor that engages in cyber operations where the goal is data theft, possibly focusing on data related to political, economic, and social policy and activities as opposed to Intellectual Property (IP) theft. We believe this is a freelancer group with some nation-state sponsorship located in China. APT21 targeting has focused on multiple foreign governments and non-governmental organizations (NGOs), including government organizations in the United States. The targeting of foreign governments and NGOs is consistent with assessed cyber activities of security organizations within the People's Republic of China (PRC), most notably the Ministry of State Security (MSS). Overall, APT21 targets appear to be those entities that oppose China's political status quo. An analysis of APT21 techniques suggests that another of their focus areas is dissident groups that seek greater autonomy or independence from China, such as those from Tibet or Xinjiang, a province in northwest China heavily populated by the Turkic Uyghur ethnic minority, long oppressed by the PRC."
APT22,"APT22 is a Chinese cyber espionage group that frequently uses strategic web compromises to exploit targets of interest. APT22 actors have identified vulnerable public-facing web servers on victim networks and uploaded webshells to gain access to the victim network. APT22 has also used phishing emails to gain access to target networks, but these instances appear to be less common."
APT23,"APT23 is a China-nexus cyber espionage actor that has historically targeted organizations headquartered in the United States and the Philippines and industries including media and national government. APT23 typically stole information that contained political and military significance, rather than Intellectual Property (IP). The nature of known APT23 data theft, which is mainly focused on the emails of journalists working in China or on related topics and documents with military and political significance, suggests that the intent of APT23 intrusions might be to monitor opinions and activities related to regional territorial disputes. Of note, Mandiant Threat Intelligence has not observed APT23 activity since 2014."
